a,lat,lon
서울 강남구 강남대로 지하 396 강남역 인근,37.5035197,127.0249283
서울 강남구 테헤란로 지하 156 역삼역,37.5055626,127.0528631
서울 강남구 강남대로 지하 396 강남역,37.5035197,127.0249283
"경기 수원시 영통구 매탄로 142, 5층",37.2600349,127.0432858
경기 수원시 권선구 호매실로 12 권선구청,37.2568256,126.969015
서울 마포구 잔다리로 24 서영빌딩,37.5510353,126.9204814
서울 서초구 서초대로74길 11,37.4965167,127.0269312
"경기 안산시 단원구 광덕대로 193 신양타운, 503호",37.3184073,126.8308129
서울 서초구 서초대로 398 그레이츠 강남 14층,37.496677,127.025098
서울 마포구 마포대로 지하 100 공덕역 인근,37.5502941,126.9558241
경기 수원시 권선구 구운로73번길 21,37.2567361,126.9719715
서울 강남구 학동로 지하 508 청담역 인근,37.5181087,127.0457549
경기 수원시 영통구 청명로 75,37.2544134,127.0781037
경기 수원시 영통구 광교중앙로248번길 7-2 원희캐슬 광교,37.2593,127.0466
경기 수원시 영통구 광교중앙로266번길 40,37.2913881,127.0698242
경기 수원시 영통구 덕영대로1556번길 16 디지털엠파이어빌딩 E동 802호,37.2593,127.0466
경기 수원시 영통구 대학4로 25 에이직랜드 빌딩,37.2593,127.0466
서울 금천구 가산디지털2로 165 백상스타타워2차 805호,37.4824411,126.8774829
경기 수원시 권선구 산업로156번길 100 2층 모베이스시스템,37.2567361,126.9719715
경기 수원시 영통구 신원로198번길 15-13 C&C INTERNATIONAL,37.2593,127.0466
서울 서초구 강남대로 강남역 인근,37.4999282,127.0263182
경기 성남시 분당구 성남대로 지하 601 서현역 인근,37.3431629,127.1088428
경기 용인시 수지구 동천동 899 분당수지 U-TOWER,37.341837,127.0992975
경기 수원시 영통구 광교산로 154-42 경기대학교 창업보육센터,37.2593,127.0466
경기 용인시 수지구 포은대로59번길 40 시그니처광교2차,37.303272670742,127.064038360056
경기 수원시 장안구 정조로 940-1 연세교육빌딩,37.291564744567,127.01255863859
경기 화성시 동탄첨단산업1로 27 금강펜테리움 IX타워,37.211027353635,127.089470982128
"경기 수원시 영통구 광교로 109, 8층",37.293229935362,127.041847606675
