회사명,공고명,링크,상세주소,급여정보,예상실수령,job_id
(주)싸이몬,싸이몬 2026년 상반기 공개 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53459481&location=ts&searchType=search&paid_fl=n&search_uuid=c2e0e179-47d6-4e5f-a65e-f12496db3790,경기 용인시 수지구 포은대로59번길 40 시그니처광교2차,면접 후 결정,,53459481
연세IT미래교육원,[정부지원 취업연계교육] AI/IT/프로그래밍/게임,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53589493&location=ts&searchType=search&paid_fl=n&search_uuid=c2e0e179-47d6-4e5f-a65e-f12496db3790,경기 수원시 장안구 정조로 940-1 연세교육빌딩,면접 후 결정,,53589493
(주)엘리프,[프리미엄 유아용품 수입사] (주)엘리프 마케팅 BM 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53537562&location=ts&searchType=search&paid_fl=n&search_uuid=c2e0e179-47d6-4e5f-a65e-f12496db3790,경기 화성시 동탄첨단산업1로 27 금강펜테리움 IX타워,면접 후 결정,,53537562
(주)마이크로인피니티,㈜마이크로인피니티 수원사업장 정규 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53604888&location=ts&searchType=search&paid_fl=n&search_uuid=c2e0e179-47d6-4e5f-a65e-f12496db3790,"경기 수원시 영통구 광교로 109, 8층",면접 후 결정,,53604888
(주)클로봇,로봇 프로젝트 매니저(PM) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53625676&location=ts&searchType=search&paid_fl=n&search_uuid=c2e0e179-47d6-4e5f-a65e-f12496db3790,"경기 성남시 분당구 성남대로925번길 16, 7층 701호",회사내규에 따름,,53625676
시드니상사,글로바이와 함께할 글로벌 온라인MD·교육매니저·웹마케터 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53602860&location=ts&searchType=search&paid_fl=n&search_uuid=c2e0e179-47d6-4e5f-a65e-f12496db3790,경기 수원시 권선구 구운로45번길 1 2층 글로바이,면접 후 결정,,53602860
메이저월드(주),[메이저월드(주)] CRM 마케팅 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53542069&location=ts&searchType=search&paid_fl=n&search_uuid=4d3b0cc3-782e-457b-a69d-d151733984ec,경기 화성시 동탄기흥로 557 금강펜테리움IT타워 16층,면접 후 결정,,53542069
성균관대학교,성균관대 텍스코어사업단(창업지원단) 매니저 채용공고(수원),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53638379&location=ts&searchType=search&paid_fl=n&search_uuid=4d3b0cc3-782e-457b-a69d-d151733984ec,경기 수원시 장안구 서부로 2066 성균관대학교 산학협력센터 85361호,"연봉 3,200 만원 (주 40시간) 
근무형태
상세보기",월 약 2.9~231.9만원,53638379
(주)제니엘,(주) 액티브아이티 콘텐츠마케터 경력 (육아휴직 대체) 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53638251&location=ts&searchType=search&paid_fl=n&search_uuid=4d3b0cc3-782e-457b-a69d-d151733984ec,경기 수원시 장안구 송원로 47,면접 후 결정,,53638251
(주)사람인에이치에스,[강남/주차가능] 오피스 빌딩 관리소장 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53638222&location=ts&searchType=search&paid_fl=n&search_uuid=4d3b0cc3-782e-457b-a69d-d151733984ec,서울 강남구 봉은사로 지하 201 언주역,면접 후 결정,,53638222
(재)노사발전재단,[노사발전재단 경기중장년내일센터] 사무보조 단기기간제 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53638018&location=ts&searchType=search&paid_fl=n&search_uuid=4d3b0cc3-782e-457b-a69d-d151733984ec,경기 수원시 권선구 권광로 149 안동빌딩 3층,"월급 253 만원 (주 40시간) 
근무형태
상세보기",,53638018
(주)에이프로코리아,[남서울 CC] 분당시내권 F&B 홀서비스 채용 (1인1실기숙사),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53636437&location=ts&searchType=search&paid_fl=n&search_uuid=4d3b0cc3-782e-457b-a69d-d151733984ec,경기 성남시 분당구 백현동 511-25,면접 후 결정,,53636437
(의)토마스의료재단 윌스기념병원,[수원윌스기념병원] 대외진료협력팀 직원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53579187&location=ts&searchType=search&paid_fl=n&search_uuid=4d3b0cc3-782e-457b-a69d-d151733984ec,경기 수원시 팔달구 인계동 994-3번지,면접 후 결정,,53579187
(주)골프프렌드,[골프프렌드 광교점] 온라인 마케팅 및 매장 판매직 (인센티브),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53636120&location=ts&searchType=search&paid_fl=n&search_uuid=4d3b0cc3-782e-457b-a69d-d151733984ec,경기 수원시 영통구 에듀타운로 108 광교 경동 해피리움 1층 골프프렌드,"연봉 3,620 만원 (주 50시간) 
근무형태
상세보기",월 약 3.6~262.3만원,53636120
(주)미래아이엔씨,[IMC] SNS 기획/운영 경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53272958&location=ts&searchType=search&paid_fl=n&search_uuid=571a8385-c844-42c9-a527-9e21b187772b,"서울 금천구 가산디지털2로 144, 현대테라타워 가산DK 13층 미래아이엔씨",면접 후 결정,,53272958
(주)맨파워코리아,&성과급/주5일/숙식제공 반도체중견 기획팀 사무지원 직원채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53445629&location=ts&searchType=search&paid_fl=n&search_uuid=571a8385-c844-42c9-a527-9e21b187772b,경기 화성시 동탄순환대로29길 25,"연봉 3,300 만원 (주 40시간) 
근무형태
상세보기",월 약 2.9~239.1만원,53445629
(주)골프프렌드,[골프프렌드 분당점] 온라인 마케팅 및 매장 판매직 (인센티브),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53634404&location=ts&searchType=search&paid_fl=n&search_uuid=571a8385-c844-42c9-a527-9e21b187772b,경기 성남시 분당구 대왕판교로 168,"연봉 3,620 만원 (주 50시간) 
근무형태
상세보기",월 약 3.6~262.3만원,53634404
(주)이엠엘,[이엠엘 본사] 사업운영본부 사업지원팀장 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53634058&location=ts&searchType=search&paid_fl=n&search_uuid=571a8385-c844-42c9-a527-9e21b187772b,경기 수원시 영통구 창룡대로256번길 77 에이스 광교타워3,면접 후 결정,,53634058
